InvoiceNo,InvoiceDate,CustomerID,Country,Quantity,UnitPrice
536365,12/1/2010 8:26,17850,United Kingdom,40,3.91
536366,12/1/2010 8:28,17850,United Kingdom,12,1.85
536367,12/1/2010 8:34,13047,United Kingdom,83,4.8533
536368,12/1/2010 8:34,13047,United Kingdom,15,4.775
536369,12/1/2010 8:35,13047,United Kingdom,3,5.95
536370,12/1/2010 8:45,12583,France,449,2.7645
536371,12/1/2010 9:00,13748,United Kingdom,80,2.55
536372,12/1/2010 9:01,17850,United Kingdom,12,1.85
536373,12/1/2010 9:02,17850,United Kingdom,88,3.3194
536374,12/1/2010 9:09,15100,United Kingdom,32,10.95
536375,12/1/2010 9:32,17850,United Kingdom,88,3.3194
536376,12/1/2010 9:32,15291,United Kingdom,112,3
536377,12/1/2010 9:34,17850,United Kingdom,12,1.85
536378,12/1/2010 9:37,14688,United Kingdom,454,1.7553
536380,12/1/2010 9:41,17809,United Kingdom,24,1.45
536381,12/1/2010 9:41,15311,United Kingdom,198,2.52
536382,12/1/2010 9:45,16098,United Kingdom,134,5.9708
536384,12/1/2010 9:53,18074,United Kingdom,190,4.7808
536385,12/1/2010 9:56,17420,United Kingdom,53,5.5714
536386,12/1/2010 9:57,16029,United Kingdom,236,2.75
536387,12/1/2010 9:58,16029,United Kingdom,1440,2.652
536388,12/1/2010 9:59,16250,United Kingdom,108,3.3764
536389,12/1/2010 10:03,12431,Australia,107,5.2786
536390,12/1/2010 10:19,17511,United Kingdom,1568,2.4529
536392,12/1/2010 10:29,13705,United Kingdom,103,18.399
536393,12/1/2010 10:37,13747,United Kingdom,8,9.95
536394,12/1/2010 10:39,13408,United Kingdom,544,2.1882
536395,12/1/2010 10:47,13767,United Kingdom,260,2.5707
536396,12/1/2010 10:51,17850,United Kingdom,102,5.2117
536397,12/1/2010 10:51,17924,United Kingdom,60,4.65
536398,12/1/2010 10:52,13448,United Kingdom,150,3.7524
536399,12/1/2010 10:52,17850,United Kingdom,12,1.85
536400,12/1/2010 10:53,13448,United Kingdom,12,1.45
536401,12/1/2010 11:21,15862,United Kingdom,124,3.235
536402,12/1/2010 11:22,15513,United Kingdom,116,3.1167
536403,12/1/2010 11:27,12791,Netherlands,97,8.425
